shift,end_timestamp,living,arose_this_shift,ended_this_shift,replicated_this_shift,links_formed,classified,anomalous,unresolved,resource_flow,phase,model,duration_seconds,estimated_cost_usd,cumulative_cost_usd,new_categories
207,2026-08-18T04:46:43Z,336,49,20,28,33,5,0,0,0.95,claude,claude-haiku-4-5,58.0,0.028527,6.628273,
208,2026-08-18T04:47:47Z,339,39,55,19,66,4,0,1,0.9031,claude,claude-haiku-4-5,62.0,0.031214,6.659487,
209,2026-08-18T04:48:45Z,330,22,51,20,47,5,0,0,0.775,claude,claude-haiku-4-5,56.8,0.030299,6.689786,
210,2026-08-18T04:49:54Z,297,19,69,17,55,5,0,0,0.6,claude,claude-haiku-4-5,68.1,0.042158,6.731944,
211,2026-08-18T04:50:51Z,268,7,49,13,37,5,0,0,0.425,claude,claude-haiku-4-5,55.8,0.032052,6.763996,
212,2026-08-18T04:51:46Z,210,3,74,13,38,5,0,0,0.2969,claude,claude-haiku-4-5,53.9,0.031596,6.795592,
213,2026-08-18T04:52:39Z,176,1,39,4,24,5,0,0,0.25,claude,claude-haiku-4-5,51.4,0.030748,6.82634,
214,2026-08-18T04:53:31Z,153,2,28,3,18,5,0,0,0.2969,claude,claude-haiku-4-5,51.4,0.030998,6.857338,
215,2026-08-18T04:54:27Z,146,8,22,7,8,5,0,0,0.425,claude,claude-haiku-4-5,54.7,0.032078,6.889416,
216,2026-08-18T04:55:23Z,157,19,14,6,16,5,0,0,0.6,claude,claude-haiku-4-5,54.9,0.032469,6.921885,
217,2026-08-18T04:56:33Z,196,32,9,16,16,5,0,0,0.775,claude,claude-haiku-4-5,68.9,0.044595,6.96648,
